Categorie;Inhoud 1;Inhoud 2;Inhoud 3;
Overlast;Klacht1: Geluidsoverlast t.g.v. feesten (geschreeuw en luide muziek). Meerdere keren melding gemaakt bij de politie.Op 17 oktober was er muziek overlast. De ruimte stond bij Amsterdam Dance Events op het programma om informatie op te halen voor deelnemers. Niet om in de late avond een DJ daar te hebben draaien. In de nacht van 19 oktober was het weer zover en de politie is er ook binnen geweest en de gesommeerd de muziek uit te zetten.Voor beide avonden was er geen vergunning.<br /><br />Klacht 2:Hier heb ik een keer eerder melding over gemaakt maar niets van terug gehoord. Het gaat over de drie dakramen(Velux) die zijn geplaatst aan de achterkant van het gebouw aan de Keizersgracht 264. Wij hebben nergens kunnen vinden dat hiervoor een vergunning is verleend. Deze ramen beperken onze privacy.<br />;;Geluidsoverlast: Notitie neemt van deze klacht en bij herhaling andere bewoners<wbr />/ gebruikers( anti-kraak) van de ruimte gebruik laten maken.<br /><br />Dakramen: Verwijderen en oude situatie herstellen;
Overlast;De klacht gaat over zaterdag op zondag 18 oktober 2014 bij het dance event in de Arena betreft geluidsoverlast.<br />Om 4.00 uur was de muziek nog ontzettend luid, dat overlast veroorzaakt. Mevrouw snapt niet dat daar een vergunning is uitgegeven. Het geluid vanuit de Arena, was helemaal te horen in Gein (de wijk waar beller woont). Dit is een enorme straal van geluid.;;Dat er 's nachts niet zulke vergunningen worden afgegeven. Meer informatie hierover, want dit is niet in het belang van de bewoners.;
Parkeren;Geen toegang tot Q-Park Europarking.;Dienst Infrastructuur Verkeer en Vervoer.;Een juiste sleutelhanger voor de Europarking en toegang tot dezelfde europarking op kenteken 10-SX-SG, gekoppeld aan de parkeervergunning van M.R. Meijer.;
Openbare ruimte;dhr Dingler was gisteren op de Ade naar er werdt ook een marathon gehouden waardoor kl kon zijn auto  bereiken maar kon niet weg .kl dat zijn auto stond in de P&R;onduidelijke informatie tegen over bezoeker vanuit buiten amsterdam;graag meer info. bij de komende evenementen;
Parkeren;Burger heeft van DIVV brief ontvangen ivm. herinrichting Elandsgracht: hem werd in brief dd 08-10-14 een parkeerplaats aangeboden, aan te vragen via de website. 16-10-14 is een brief met sleutelhanger voor Europarking ontvangen. In de brief stond dat hij kon parkeren in de Museumpleingarage! Niemand van DIVV is bereikbaar of weet hier van. Kenmerk brief: DIVV<wbr />/uit<wbr />/2014016457 (briefdd 06-10) en DIVV<wbr />/uit<wbr />/2013011954;;Burger wil graag een antwoord krijgen zonder daar uren voor aan de telefoon te hangen! ;
Openbare ruimte;Besten,<br />Ik loop met mijn nieuwe schoenen (heb de bon met datum plus foto) over de Mauritskade en zak met mijn hak tussen de niet gevoegde tegels aan de kade kant. gevolg: kapotte hak! (zie bijlage);;Ik wil graag dat mijn hak wordt hersteld, indien dat niet kan nieuwe schoenen (139,95);
Openbare ruimte;Op het kruispunt Wibaut<wbr />/Ruistraat, Wibaut<wbr />/1e Oosterpark Wibaut<wbr />/sarphatistraat zijn de stoplichten en de stopstrepen voor fietsers niet goed op elkaar afgesteld.;;Verkeerssituatie aanpassen.;
Openbare ruimte;Meneer ondervindt dagelijks last van foutparkeerders voor de deur van zijn snackbar. Meneer heeft hier eerder meldingen van gemaakt, handhaving was langs geweest. Handhaving had toegezegd dat er meer gehandhaafd zou worden, meneer heeft ze maar twee keer gezien en daarna nooit meer. Voor de deur van zijn snackbar is het verboden om stil te staan. Buren hebben ook last van de foutparkeerders. ;Handhavers van stadsdeel centrum ;Dat er een handhaver in de buurt van de snackbar gaat staan. ;
Parkeren;Beste,<br /> <br />Wij hebben gisteren een fantastische marathon dag gehad in Amsterdam.  s ochtends de auto geparkeerd in de Arena transferium en daarna met de ov<wbr />/metro naar het olympische stadion. .<br />Wij betalen 5 euro met 2 kaartjes voor het ov. <br /> <br />Maar toen we op het eind van de middag naar huis gingen en we bij slagboom stonden kregen we de melding dat we nog 19 euro moeten betalen. Daar sta je dan. <br />En ik kan u verzekeren dat wij niet de enige waren ook buitenlanders waaronder Italianen die erg kwaad waren. <br />Dacht je goed koop  PR transferium te parkeren en nogmaals wij waren niet de enige. Dit wilde ik even kwijt. <br />Hoor het verder graag van u. <br /> <br />Met vriendelijke groet,<br />Hessel Schoonderwoerd<br />Wethouder de Brouwerstraat 21<br />5051 SJ Goirle<br />Tel. 06-53608610<br />;;;
Openbare ruimte;De klacht betreft de gang van zaken betreffende de afhandeling van beide aanvragen voor een omgevingsvergunning van Reguliersgracht 54:<br />- Renovatie van Reguliersgracht 54 - OLO nr: 1389075<br />- Herfundatie van Reguliersgracht 54 - OLO nr: 1387135<br />;de Heer Tichtti en mevrouw Veldkamp;Graag op zeer korte termijn een oplossing aangaande de beslissing betreffende de aangevraagde omgevingsvergunningen;
Openbare ruimte;Ik woon in het gebied Lange Leidsedwarsstraat<wbr />/Spiegelgracht. Sinds een tijd is het heel lastig om daar een fiets te parkeren aan een van de door de gemeente geplaatste rekken. De rekken zijn bijna altijd vol, zelfs vaak met dubbele rijen, omdat er geen plek is om de fiets ergens anders te plaatsen. Een aantal jaren geleden was dit echt beter. <br />Zo op het oog lijkt het niet te gaan om oude fietsen, dus de verwijderingsdienst zou niet veel zin hebben. Er zijn te weinig rekken en omdat de gemeente bruggen<wbr />/palen etc als eigendom beschouwt en het niet de bedoeling is dat je je fiets daaraan plaatst, vraag ik dringend om het creeeren van extra plaatsen in dit gebied.;nvt;Plaatsen van meer fietsenrekken, creeeren van meer plaatsen waar fietsen aan iets vast geparkeerd kunnen worden.<br />Vaker controleren door verwijderingsdienst, om zo ongebruikte fietsen snel te verwijderen.;
Overig;Klacht mbt geluids overlast Supperclub niet terug gekoppeld naar mij als bewoner. Betreft klacht nr MORA-0222451;Ja dienst milieu ivm metingen;Graag alsnog snelle terug koppeling;
Onderwijs, jeugd en zorg;Mw heeft vanochtend geprobeerd om via het nr 2564800 Samen Doen te spreken. Mw kreeg daar het nr 2564216 door om zelf te proberen en daar heeft mw de hele morgen mee gebeld, maar er was geen antwoordapparaat of iemand die opnam;Sociaal loket van Stadsdeel Centrum;Dat men op hun verantwoording worden aangesproken. Dat Samen Doen makkelijk bereikbaar is.;
Openbare ruimte;Op pg 10 van 'Amsterdam jaargang 1, nr 6, 16 14 editie Noord' wordt de keus voor of tegen roken op de pont (en bushaltes) voorgesteld als keus tussen 'lekker' en 'niet lekker'. Maar die framing miskent, dat de pont voor een grote groep CARA-patienten domweg niet toegankelijk is omdat rokers het 'lekker' vinden om daar te roken. Verbieden dus: mogen CARA-patienten ook nog mee?;Zelfs chauffeurs staan op haltes te roken, soms zelfs zo, dat rook de bus in komt.;Maak OV ook toegankelijk voor CARA-patienten en verbiedt dus roken op haltes en pontveren.;
Parkeren;Afgelopen weekend met 2 auto's naar Amsterdam gegaan. Auto geparkeerd bij P&R Olympisch stadion. Na een kwartier in de rij te hebben gestaan auto geparkeerd en met OV (tram 16) naar centrum gereisd. Terugweg vanuit Toomler (Breitnerstraat) de dichtbijzijndste tram gezocht. Dat was weer tram 16 halte Emmastraat<wbr />/De Lairessestraat. Bij aankomst in parkeergarage geen 1 euro maar tot onze verbazing 27 euro per auto moeten betalen! Dus in totaal 54 euro in plaats van 2 euro. Het kan niet zijn dat je als toerist (ondanks jullie PDF op de site) kunt bepalen dat deze halte net buiten het centrum ligt. Het ligt zelfs nog dichter bij het Olympisch stadion. Had ik dan terug moeten gaan lopen naar het centrum? Dat klopt toch niet. ;Nee;Het teveel betaalde (namelijk 52 euro) terugstorten op mijn bankrekeningnummer NL92RABO0397672888 t.n.v. G.J. van Rijswijk;
Werk en inkomen;Op 22 september heb ik vanuit de Scholierenvergoeding een declaratie ingediend m.b.t. Ov-kosten voor school (mijn zoontje zit op een VSO, maar omdat hij te dicht bij woont heeft hij geen recht op het Scholierenvervoer. Ook heeft hij geen recht op de reguliere vergoeding voor het OV, omdat hij maar 1 ster reist. Vandaar dat ik zijn OV-kosten via zijn Scholierenvergoeding wil declareren, want ik heb zelf niet genoeg geld daar voor.) Op 30 september jl. heb ik met het DWI gebeld (Mevr. van Putten) om te vragen waarom de declaratie niet was uitgekeerd. Mevrouw vertelde mij dat ik hierover terug gebeld zou worden (mevrouw heeft mijn telefoonnummer genoteerd). Tot op heden ben ik nog steeds niet terug gebeld en heb ik nog steeds geen antwoord op mijn vraag. ;;Mij alsnog laten weten waarom mijn declaratie niet uitbetaald is en dat men er op toe ziet dat men terug gebeld wordt als men dat belooft.;
Parkeren;Naar mijn mening heb ik onterecht op een P&R parkeerplaats het volledige parkeerbedrag betaald ipv het gereduceerde rarief van  1.;Nee;Het teveel betaalde restitueren. Ik heb  12,60 betaald op 18 oktober 2014 om 18.07 uur, transactienummer 1260.<br />mijn rekeningnummer is iban NL50INGB0000349387;
Openbare ruimte;de Kliersloot wordt onregelmatig geveegd en gereinigd. vandaag lag er na het reinigen nog een condoom op de grond ;;De kliersloot beter en regelmatiger reinigen ;
Openbare ruimte;1. Op de website staat dat een geboorteaangifte via een inloopafspraak gedaan kan worden, echter kon dat niet en moest ik dus na de inloopafspraak nogmaals langskomen, uren later, iets wat niet handig is met een vrouw thuis herstellende van de bevalling. Vroeger kon dit gewoon en was alles meteen te regelen. <br />2. Evenals bij de inloopafspraak moest ik bij mijn tweede afspraak moest ik aangeven via ticketuutgifte systeem of ik voor de inloop kwam of op afspraak. bij het kiezen van de laatste optie komt er een ticket uitrollen waarop staat dat ik me bij de afsprakenbalie moet melden, geen nummer oid. Daar heb ik vervolgens wel een juiste ticket gekregen, maar het is ontzettend onzinnig om de eerste ticket te krijgen, een bordje met een pijltje was genoeg geweest, is nu zonde van het papier. <br /><br /> ;Nee;1. Zorgen dat je gewoon bij de inloopavond je geboorteaangifte kan doen.<br />2. Bij afspraken gewoon doorsturen naar de afsprakenbalie ipv eerst een onzinnig ticket uit te geven.;
Openbare ruimte;Geluidsoverlast. gedurende de nacht van zaterdag 18 tot (zondag) 19 oktober van 23:00 uur tot 06:00 uur 's ochtends was er veel geluid, vermoedelijk uit het Arena gebied. Dit in verband met het Amsterdam Dance Event. Alleen de zeer zware bassen waren zeer goed hoorbaar. Idioot dat dit zo een hele nacht door kan gaan en een heel stadsdeel wakker kan houden.;nee;Geen vergunning geven, of de vergunning zo inrichten dat het geluid beperkt wordt. En daar dan ook op handhaven.;
Openbare ruimte;Er zit een grote bult in het asfaltdek van de hoofdweg Pomonastraat<wbr />/Druivenstraat aan de kant van de Kersenstraat.<br />En aangezien er door veel auto's, motoren en scooters nogal tamelijk hard wordt gereden lijkt het mij verstandig daar wat aan te doen. Ook al omdat wij als bewoners zitten te trillen<wbr />/schudden in onze huizen.;Ik denk het niet.;De boel zo spoedig mogelijk repareren voordat er ongelukken gaan gebeuren.<br />Het zal wel een andere dienst zijn maar de groenvoorziening wordt hier in deze buurt fantastisch onder-<wbr />/bijgehouden waarom wordt er op veiligheid dan bezuinigd ? Gaarne hierover uw antwoord.<br />Bij voorbaat mijn hartelijke dank.;
Parkeren;Het betreft een bedrijfs parkeervergunning maatschappelijke instelling. Dit gebeurd digitaal door meerdere gebruikers, waardoor er soms een fout gemaakt wordt met het kort parkeren (aan-en stopzetten) van verschillende kentekens.;Nee;De registratie gaat niet altijd goed bij gebruiker. Mevrouw heeft meerdere bezwaren ingediend en krijgt steeds hetzelfde antwoord.<br />Mevrouw heeft het gevoel dat het niet serieus behandeld wordt.<br />Klantnr: 1993709;
Openbare ruimte;Aanvulling op reeds ingediende klacht. Uw ref. nr: 2014-0242638<br />Zie voor aanvulling de bijlage.;Handhaving geluid overlast door gemeente Amsterdam.;De vergunning aanpassen, waardoor geluid overlast voorkomen wordt.;
Openbare ruimte;stadsdeel nieuw west sluit wegen af, en laten geen juiste borden achter om om te rijden. Er word vanaf de pieter callandlaan richting de baden powelweg aangegeven dat rechtdoorgaand verkeer is afgesloten, er word daarbij niet gemeld, dat er ook geen mogelijkheid is om bij het kruispunt naar links te kunnen gaan. Dan staan er werkers op de weg, die geen eens Nederlands verstaan en praten, en ook nog eens verkeerde aanwijzingen geven en mij nog meer hebben laten omrijden dan nodig is.Ze hebben mij erg onbeschoft te woord gestaan en ben hier niet van gediend en verwacht dan ook oplossing hiervoor vanuit u kant. Er staat ook niet van wanneer tot wanneer werkzaamheden zullen duren. Degene die op de weg staan hij heeft mij verkeerde uitleg gegeven en de borden verwijzen je naar wegen die ook zijn afgesloten voor werkzaamheden. Kortom gewenste oplossing: Graag duidelijkheid op de borden en graag medewerkers die wel abn beheersen + vergoeding voor het extra omrijden om aanwijzing van u ingehuu;medewerkers die de bij de weg afzetting staan;-Brieven aan de omwonende om ze op de hoogte te stellen<br />-juiste borden met juiste omschrijvingen<br />-Medewerkers die wel gewoon nederlands verstaan en spreken<br />-Vergoeding nav extra omrijden op aanwijzing van u ingehuurde   personeel;
Openbare ruimte;Sinds 17 oktober jl. is er in onze straat een parkeerverbod ivm boomwerkzaamheden. Dit ging in op 17 oktober 07.00, zonder vermelding van eindigheid en is blijkbaar nog steeds van kracht. De werkzaamheden liggen echter zo goed als stil, als e meer dan een uur per dag aan de bomen wordt gewerkt is het veel. terwijl de hele buurt nu al langere tijd wordt gehinderd met parkeerproblemen, ook in het weekend. Kortom, het is bijzonder onhandig gepland, waarom niet va 09.00 sochtens tot bijv. 17.00 zodat mensen savonds normaal kunnen parkeren? <br />;;Ja graag ZSM opheffen onnodig parkeerverbod.;
Openbare ruimte;Zie bijlage;Ja. De heer den Haan.;Vergoeding van gemaakte kosten;
Overig;Ik word zojuist doelbewust van de weg afgedrukt door een auto van de handhaving met kenteken 64-LRL-3 na de kruising ferdinand bolstraat stadhouderskade terwijl ik toch echt links voorgesorteerd sta en me ten tijde van invoegen een autolengte voor desbetreffende bevind. Graag een verklaring anders voel ik me geroepen aangifte te doen. Volstrekt belachelijk, en dat noemt zich handhaving.;Bestuurder van auto diensthandhaving met kenteken 64-LRL-3.;Graag een verklaring van persoon in kwestie of dit past binnen zijn functieomschrijving.;
Openbare ruimte;GVB werkt aan de weg<br />locatie Haarlemmermeercircuit<br />periode 27-10 t<wbr />/m 29-11-2014<br />onderhoudswerkzaamheden tramspoor;kon geen adres vinden om deze klacht bij het GVB in te dienen;de werkzaamheden op zaterdag en zondag laten plaatsvinden<br />i.p.v. alle door de week dagen...........<br />er bestaan nog werkende mensen in dit land, die willen slapen om de volgende dag weer te kunnen presteren<br />dus<br />bv za-zo-ma-di-woensdag werken<br />of woe-do-vrij-za-zondag<br />en a.u.b. niet aankomen met verhaal zondagsrust........<br />dan mogen ook alle winkels dicht op zondag !<br />en ik begrijp dat weekend werken duurder is dan door de week<br />maar mensen van hun nachtrust beroven is een te hoge prijs !;
Openbare ruimte;mvr was lopend en wou oversteken bij het bilderdijkpark. Daar stond een reiningingsauto met het kenteken: WE0375. Mevr vroeg of hij een stukje naar voren wou gaan zodat ze er langs kon, eerst werd er niet gereageerd daarna ging hij een klein stukje naar voren. Was nog niet genoeg voor mevr en klopte weer aan of hij naar voren wou gaan, ze vroeg het nog een keer en nu deed de man het raam open met een reactie wat heee. Mevr riep hee omdat hij haar niet hoorde maar dit komt omdat hij oordoppen in had. Hij ging pas verder doordat het stoplicht op groen ging en mevr er wel door kon.;Ja van de reinigingsdienst met het kenteken WE0375. Jonge jongen;Dat de persoon hier op aangesproken kan worden op zijn gedrag.;
Werk en inkomen;Ik kom net uit detentie. Ik heb geen geld en geen eten. Ik krijg pas over een paar dagen leefgeld. Ik wil met spoed wat geld en dat staat op de fibu rekening. CCA kan mij niet doorverbinden.;Medewerker CCA kon mij niet doorverbinden.;Meer rekening houden met persoonlijke omstandigheden van mensen. Ik heb geen andere mogelijkheid dan te stelen voor eten.;
Werk en inkomen;Meneer had de gemeente vanmorgen gebeld. Meneer kreeg te horen dat hij geen zorgverzekering kon krijgen via de gemeente bij Agis. Gemeente verwijst hem door naar Agis. Agis verwijst hem door naar de gemeente. Nu krijgt hij mij aan de lijn en kreegt hij weer andere informatie te horen. Dat hij wel zich wel kan aanmelden voor een zorgverzekering bij de Gemeente maar pas vanaf half november. Terwijl eerder is vermeld dat het al kan vanaf oktober. Meneer is verward en geirriteerd door deze behandeling van de gemeente. ;;;
Overig;Stadstoezicht medewerkers hebben mw van Ommeren ruw behandeld. Mw had koffie to go meegenomen en mocht niet in de tram. Zij heeft deze in haar tas gestopt. Trambestuurder wilde niet rijden. Handhaving of stadstoezicht is er bij geroepen en heeft mw hardhandig aangepakt. Mw is bijna gewurgd en meegenomen door de politie.;Ja, naam onbekend<br />Mw heeft aangifte gedaan en namen zouden bekend moeten zijn bij de politie of het proces verbaal.;mw van Ommeren is hierdoor erg overvallen en wenst dat ze niet in de problemen komt met aanvraag VOG.;
Openbare ruimte;In de fietsenrekken voor mijn deur staan veel fietswrakken. Ongeveer twee maanden geleden heb ik hierover een melding gemaakt met het digitale formulier 'Melding Openbare Ruimte' (26 aug. 2014, registratienummer MORA-0204310). De melding was duidelijk omschreven, ik had ook foto`s bijgevoegd. Nog diezelfde dag heeft de gemeente stickers geplakt op een aantal fietswrakken, waar ik erg blij mee was.  Echter, sindsdien is er niets gebeurd. de wrakken staan er nog steeds. Ik heb op 17 september nogmaals een melding gedaan, waarin ik vroeg waarom de gemeente geen actie ondernam. Hierop heb ik geen antwoord gekregen. Ik kreeg een e-mail waarin stond dat de melding was afgehandeld. Ik heb aangeklikt dat dat niet waar is.<br /><br />Mijn klacht:<br />1) Ik heb twee maanden geleden een melding gemaakt van fietswrakken. De wrakken staan er nog steeds.<br />2) De gemeente communiceert niet met mij. Wellicht dat de mensen die fietswrakken wegknippen het heel druk hebben, maar dat is iets waar ik naar moet raden.;;1) De fietswrakken weghalen en hierover communiceren.;
Openbare ruimte;er staat nu al 3 maanden een buitenlandse auto waarvan een band lek is, de stuurkolom is verwijderd cition er pas 1 sticker opgeplakt heeft de rest controleert wel maar rijd dan gewoon weer verder zonder sticker te plakken, politie doet ook niets. ik heb dit al gemeld aan openbare ruimte op 17 september maar ook tot nu toe geen enkele actie om deze auto weg te slepen zie MORA-0220238;nee;deze auto wegslepen of gaat het nog langer duren als die auto bij het Amstelhotel.....;
Overig;Klacht over brug 346, Westerkeersluis over Tasmanstraat. Deze werd vanochtend in de stromende regen geopend terwijl er geen boot voorbij kwam en zeker 5 kinderen vrolijk zwaaide in het hokje. Best leuk om met kinderen de brug open te doen, mits er een boot komt en zeker niet in de stromende regen terwijl dit mij zeker 3 minuten (doorweekt op de fiets) kostte. ;;Puur het doorgeven, dat dit niet op prijs wordt gesteld en een tientallen mensen aan beide kanten onterecht gedupeerd zijn. Niet heel erg, maar wel als je al compleet doorweekt bent en je ziet dan vrolijk zwaaiende kinderen. Ik zie er wel de humor van in, maar echt vrolijk word ik er niet van. Wacht dan even tot een boot, dan is het functioneel. ;
Openbare ruimte;Dhr. Lalji, zoon van mw. Karadjietsingh is gebeld op vrijdag 17 okt. door burgerzaken van stadsdeel Noord. Het ging over het maken van een afspraak voor een ID kaart voor zijn moeder. Er werd aan hem verteld dat hij maandag 20okt gebeld zou worden voor het maken van een afspraak. Zijn moeder is dement en kan niet naar het stadsdeel komen. <br />Vandaag dinsdag 21okt belt dhr. Lalji zelf op met de vraag waarom hij niet is teruggebeld. Ik heb gebeld met burgerzaken om navraag te doen. Het blijkt dat er maar een collega is, die de afspraken plant en momenteel ziek is. Een collega gaf aan dat dhr. moet wachten tot de collega weer beter is. Hij kwam met het verhaal dat ze onderbezet zijn door vele zieken en voorlopig geen huisbezoeken gepland zullen worden. Dhr. geeft aan dat de ID kaart nodig is voor een herindicatie bij CIZ. Het CIZ vraagt om een kopie dat binnen 2 weken verstuurd moet worden. Nu kan dhr. dat niet leveren namens zijn moeder en is de situatie onduidelijk. ;Een medewerker van Burgerzaken van Stadsdeel Noord. ;Huisbezoek afleggen voor het aanvragen van een ID voor zijn moeder en graag zo snel mogelijk. ;
